label,log
10,1 out of 1 hunk FAILED -- saving rejects to file vendor/nix/.cargo-checksum.json.rej patching file vendor/nix/src/sys/ioctl/linux.rs Hunk #1 FAILED at 33. 1 out of 1 hunk FAILED -- saving rejects to file vendor/nix/src/sys/ioctl/linux.rs.rej
2,make[5]: *** [Makefile:1052: test-suite.log] Error 1 make[4]: *** [Makefile:1160: check-TESTS] Error 2
4,linux/trace.c:332:5: error: unknown type name 'HEADERS_STRUCT' linux/trace.c:444:17: error: 'MAX_INSTR_SZ' undeclared (first use in this function) linux/trace.c:444:13: error: unused variable 'buf' [-Werror=unused-variable]
3,"#error ""No support for this architecture (yet)"""
3,error: #error You are trying to use x86 context switching on a non-x86 platform. Your platform may be supported with the CMake option HPX_WITH_GENERIC_CONTEXT_COROUTINES=ON.
4,turnrest.c:164:9: error: void value not ignored as it ought to be    164 |         curl_easy_setopt(curl  api_http_get ? CURLOPT_HTTPGET : CURLOPT_POST  1);
1,error: failed to run custom build command for `ring v0.16.20`
8,[ERROR] [ERROR] Some problems were encountered while processing the POMs: [ERROR] Unresolveable build extension: Plugin org.apache.felix:maven-bundle-plugin:2.5.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.felix:maven-bundle-plugin:jar:2.5.0 
4,error[E0425]: cannot find value `AVG_RANGE_COMP_REQ` in this scope error[E0425]: cannot find value `AVG_RANGE_COMP_REQ` in this scope
3,kBuild/env.sh: unknown cpu/arch - riscv64
3,# error Unsupported architecture
1,"error: #error ""No default crashkernel reservation for your architecture!"" error: 'CAN_REDUCE_CPUS' was not declared in this scope error: 'DEF_RESERVE_KB' was not declared in this scope; did you mean 'ADD_RESERVE_KB'?"
2,"FAIL	github.com/keybase/client/go/kbfs/test	600.701s"
7,Job seems to be stuck here  killed. (after 28800 seconds of inactivity)
2,Errors while running Ctest
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory
9,"[ 2442s] [ERROR] [ERROR] Some problems were encountered while processing the POMs:
[ 2443s] [FATAL] Non-resolvable parent POM for org.wildfly.security:wildfly-elytron:1.6.8.Final: Could not transfer artifact org.jboss:jboss-parent:pom:25 from/to aliyun (http://maven.aliyun.com/repository/central/): Connect to maven.aliyun.com:80 [maven.aliyun.com/182.92.29.53, maven.aliyun.com/182.92.29.54, maven.aliyun.com/182.92.29.16, maven.aliyun.com/59.110.251.11, maven.aliyun.com/59.110.251.12, maven.aliyun.com/59.110.251.4, maven.aliyun.com/59.110.251.10, maven.aliyun.com/182.92.29.40, maven.aliyun.com/182.92.29.13, maven.aliyun.com/59.110.251.9] failed: Connection refused (Connection refused) and 'parent.relativePath' points at wrong local POM @ line 20, column 13"
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory
5,touch: cannot touch '_output/bin/prerelease-lifecycle-gen': No such file or directory
1,error: failed to run custom build command for `ring v0.16.20`
2,make[5]: *** [Makefile:973: test-suite.log] Error 1 make[4]: *** [Makefile:1081: check-TESTS] Error 2
4,src/config.h:365:53: error: unknown type name 'La_regs' src/audit.c:134:49: error: unknown type name 'La_retval'
4,../govirt/ovirt-utils.c: In function ‘ovirt_rest_xml_node_get_str_array_from_path’: ../govirt/ovirt-utils.c:137:9: error: cast increases required alignment of target type [-Werror=cast-align]
4,/home/abuild/rpmbuild/BUILD/libjxl-0.8.1/lib/jxl/enc_xyb.cc:223:21: error: variable 'std::atomic<bool> ok' has initializer but incomplete type    223 |   std::atomic<bool> ok{true};
3,CMake Error at CMakeLists.txt:82 (message):    Unknown or unsupported processor: riscv64.  Override by setting    OQS_PERMIT_UNSUPPORTED_ARCHITECTURE=ON
1,LifeLines requires a curses implementation with wide character support! + make -j16 make: *** No targets specified and no makefile found.  Stop.
1,configure: error: Package requirements (luajit) were not met: Package 'luajit'  required by 'virtual:world'  not found
4,error: 'class Quotient::AccountSettings' has no member named 'accessToken'; did you mean 'clearAccessToken'?
2,error: 1 target failed:      `--test alternative_backends`
2,# Ran 220 tests  10 skipped  18 failed.
5,"CMake Error at cmake/Modules/FindLua.cmake:27 (add_subdirectory):    add_subdirectory given source ""lib/lua"" which is not an existing directory."
4,pkg/drivers/kvm/domain.go:67:53: undefined: domainTmpl
4,dns_utils.cpp:590:22: error: 'record_count' was not declared in this scope dns_utils.cpp:597:23: error: 'good_record' was not declared in this scope; did you mean 'good_records'?
3,net_ssl.cpp:216:35: warning: 'EC_KEY* EC_KEY_new()' is deprecated: Since OpenSSL 3.0 [-Wdeprecated-declarations]
5,cp: cannot stat './../../class/lib/build-linux/tmp/gensources.exe': No such file or directory
4,SelfSignedCertificate.cpp:45:29: error: 'CRYPTO_MEM_CHECK_ON' was not declared in this scope SelfSignedCertificate.cpp:45:13: error: 'CRYPTO_mem_ctrl' was not declared in this scope; did you mean 'CRYPTO_memcmp'?
3,"Makefile:144: *** CPU type ""riscv64"" not supported.  Please file bug report at 'https://github.com/mupen64plus/mupen64plus-core/issues'.  Stop."
1,Run-time dependency luajit found: NO (tried pkgconfig and cmake)
1,error: failed to run custom build command for `ring v0.16.20`
6,c++: internal compiler error: Segmentation fault signal terminated program cc1plus
4,simd_generic.hpp:324:56: error: cannot convert 'const ngcore::SIMD<double  1>' to 'double' in initialization
4,src/poddlthread.cpp:65:31: error: 'CURLOPT_PROGRESSFUNCTION' is deprecated: since 7.32.0. Use CURLOPT_XFERINFOFUNCTION [-Werror=deprecated-declarations]
5,install: cannot stat 'nmon': No such file or directory
1,vendor/golang.org/x/exp/shiny/driver/x11driver/buffer.go:111:9: undefined: shmClose vendor/golang.org/x/exp/shiny/driver/x11driver/screen.go:328:23: undefined: shmOpen
1,CMake Error at /usr/share/cmake/Modules/FindPackageHandleStandardArgs.cmake:230 (message):    Could NOT find BZip2 (missing: BZIP2_LIBRARIES BZIP2_INCLUDE_DIR)
10,CMakeFiles/Makefile2:2682: CMakeFiles/notcurses.3.man.dir/all] Error 2
7,Job seems to be stuck here  killed. (after 28800 seconds of inactivity)
5,cpio: gcc-9.2.1+git749/libgcc/libgcc2.c: Cannot stat: No such file or directory
5,make[3]: *** No rule to make target 'param.riscv64_linux26.h'  needed by 'param.h.new'.  Stop.
2,"The following tests FAILED: 	 82 - test_regressions_1 (Subprocess killed) 	 83 - test_regressions_221 (Subprocess killed)  	213 - inchiSteffen_PubChem.smi_Test (Timeout) 	215 - pytest_sym (Timeout) 	223 - pybindtest_bindings (Failed) Errors while running CTest"
10,No buildstatus set  either the base system is broken (kernel/initrd/udev/glibc/bash/perl) or the build host has a kernel or hardware problem…
4,operf_utils.cpp:1423:2: error: 'rmb' was not declared in this scope
4,base64.c:89:36: error: 'i' may be used uninitialized [-Werror=maybe-uninitialized] base64.c:94:20: error: 'skip' may be used uninitialized [-Werror=maybe-uninitialized]
1,error: failed to run custom build command for `ring v0.16.20`
1,error: failed to run custom build command for `ring v0.16.20`
5,make: *** No rule to make target 'include/generic/Types.inc'  needed by 'api/thunks.o'.  Stop.
10,Fatal SIMPLE-ERROR:    please implement make: *** [Makefile:47: bin/pgloader] Error 1
3,dhparam: Unknown option: -C dhparam: Use -help for summary.
3,libglfork.cpp:1028:6: error: ifunc is not supported on this target
3,"/usr/lib64/python3.11/random.py:436: in sample      raise TypeError(""Population must be a sequence.  "" E   TypeError: Population must be a sequence.  For dicts or sets  use sorted(d)."
3,"AssertionError: '[mp4] muxer does not support non seekable output' not found in ""no container format 'mp4'"""
4,stdalign_check.c:13:9: error: unused variable ‘alignment’ [-Werror=unused-variable] stdalign_check.c:9:24: error: unused variable ‘test’ [-Werror=unused-variable]
10,Badness 1000 exceeds threshold 999  aborting
9,"[ 1241s] RTNETLINK answers: File exists
[ 1241s] RTNETLINK answers: Permission denied
[ 1241s] Network setup
[ 1241s] Cannot find device ""eth0""
[ 1241s] Cannot find device ""eth0""
[ 1241s] Cannot find device ""eth0""
[ 1241s] Error: Nexthop has invalid gateway."
10,Badness 1000 exceeds threshold 999  aborting
10,Badness 1000 exceeds threshold 999  aborting
10,Badness 1000 exceeds threshold 999  aborting.
2,FAILED test_runtime.py::RuntimeGoingWrongTestCase::test_duplication_and_runtime_malformed
4,AttributeError: module 'inspect' has no attribute 'getargspec'
4,TypeError: tuple indices must be integers or slices  not str TypeError: __dict__ must be set to a dictionary  not a 'NoneType'
2,cpplint_unittest.py:6501: AssertionError
2,tests/test_subprocess.py:84: AssertionError
3,KeyError: 'INPLACE_ADD'
5,cytoolz/dicttoolz.c:211:9: fatal error: longintrepr.h: No such file or directory
2,"FAILED test_datadiff.py::test_diff_set - assert ""--- x\n+++ y...n 3 \n 7 \n])... FAILED test_datadiff.py::test_diff_frozenset - assert ""--- x\n+++ y...n 3 \n …"
2,FAILED testing/test_metadata.py::TestBasenameMeta::test_noversion_sameproject FAILED testing/test_metadata.py::TestBasenameMeta::test_sort_sameproject_links
2,FAIL: testDiffMain (diff_match_patch.tests.diff_match_patch_test.DiffTest) AssertionError: False is not true
6,[ 1919.243355][ T7313] Out of memory: Killed process 7255 (Setup) total-vm
2,FAILED tests/test_django.py::TestStaticFiles::test_find_with_glob - re.error:... FAILED tests/test_django.py::TestStaticFiles::test_find_with_recursive_glob
2,FAILED tests/test_handlers.py::AxesDatabaseHandlerTestCase::test_handler - As... FAILED tests/test_logging.py::AccessLogTestCase::test_log_data_truncated - ax…
4,ERROR: test_view_dynamic (tagging.tests.tests.TestTaggedObjectList.test_view_dynamic) raise source.error('global flags not at the start ' re.error: global flags not at the start of the expression at position 14
4,packaging._tokenizer.ParserSyntaxError: Expected end or semicolon (after version specifier)
5,efl/eo/efl.eo.c:248:9: fatal error: longintrepr.h: No such file or directory
2,FAILED tests/test_node_pool.py::test_threading_test[1] - assert 4633 >= 10000 FAILED tests/test_node_pool.py::test_threading_test[8] - assert 3108 >= 10000
2,FAILED eliot/tests/test_filter.py::MainTests::test_default - AttributeError: …
3,ImportError: cannot import name 'sre_parse' from 're' (/usr/lib64/python3.11/re/__init__.py)
2,FAILED tests/test_pyi_files.py::test_pyi_file[tests/type_comments.pyi] - asse…
5,cc1: fatal error: frozendict/src/3_11/frozendictobject.c: No such file or directory
2,FAILED test/test_holiday_base.py::TestAllInSameYear::test_all_countries - Att…
2,FAILED test_ece.py::TestEce::test_derive_key_invalid_mode - AttributeError: '…
10,No buildstatus set  either the base system is broken (kernel/initrd/udev/glibc/bash/perl) [90344s] or the build host has a kernel or hardware problem…
2,FAILED influxdb/tests/client_test.py::TestInfluxDBClient::test_write_gzip - A…
4,jp_exception.cpp:524:23: error: ‘PyThreadState’ {aka ‘struct _ts’} has no member named ‘frame’; did you mean ‘cframe’? jp_exception.cpp:552:36: error: invalid use of incomplete type ‘PyFrameObject’ {aka ‘struct _frame’}
2,FAILED jsonweb/tests/test_decode.py::TestJsonWebObjectDecoder::test_bad__init__raises_error FAILED jsonweb/tests/test_decode.py::TestJsonWebObjectDecoder::test_class_kw_args_are_optional
6,[ 1968.000306][ T7607] Out of memory: Killed process 7560 (Setup) total-vm
2,FAILED tests/unit/utils/test_scp.py::TestScp::test_scp_user_def_progress FAILED tests/unit/utils/test_scp.py::TestScp::test_scp_user_def_progress_args_2
2,SKIPPED [1] test/test_admin_integration.py:13: ACL features require broker >=0.11 SKIPPED [1] test/test_admin_integration.py:89: Describe config features require broker >=0.11
2,FAILED kajiki/tests/test_ir.py::TestBasic::test - TypeError: code() argument ... FAILED kajiki/tests/test_ir.py::TestSwitch::test_basic - TypeError: code() ar…
4,_line_profiler.c:5627:46: error: invalid use of incomplete typedef ‘PyFrameObject’ {aka ‘struct _frame’}
3,RuntimeError: Cannot install on Python version 3.11.1; only versions >=3.7 <3.11 are supported.
5,lws.bycython.cpp:196:9: fatal error: longintrepr.h: No such file or directory
2,FAIL: test_Cookie_iterator (test.test_cookies.CookieTests.test_Cookie_iterator)
1,error: failed to run custom build command for `ring v0.16.20`
2,FAILED tests/test_compute_hash.py::TestComputeHash::test_ntowfv1 - ValueError... FAILED tests/test_compute_hash.py::TestComputeHash::test_ntowfv2 - ValueError…
4,pybind11.h:1892:14: error: invalid use of incomplete type ‘PyFrameObject’ {aka ‘struct _frame’}
2,ERROR: test_is_legacy_version (tests.test_version.TestOpenwrtLuciRPC) Test comparing versions works as expected.
4,TypeError: not all arguments converted during string formatting
4,TypeError: not all arguments converted during string formatting
2,ERROR parsimonious/tests/test_benchmarks.py ERROR parsimonious/tests/test_expressions.py ERROR parsimonious/tests/test_grammar.py ERROR parsimonious/tests/test_nodes.py
7,cucumber features/timeouts.feature:30 # Scenario: Invoke a step definition that takes longer than its timeout
2,FAILED test/test_filepath.py::Test_validate_filepath::test_exception_invalid_char[17DOJ6bKqfdiULG0LywrS37oFh7LAmeHJJyGieLRVf4xjHkenEuiBa8P0zwknBE1\x0017DOJ6bKqfdiULG0LywrS37oFh7LAmeHJJyGieLRVf4xjHkenEuiBa8P0zwknBE1] FAILED test/test_filepath.py::Test_sanitize_filepath::test_normal_str[universal-AA\x00B--AAB0]
2,FAILED tests/test_cli_sync.py::test_force_files_with_dot_in_extension - asser... FAILED tests/test_cli_sync.py::test_pip_install_flags[cli_flags6-expected_install_flags6]
2,FAILED tests/test_local.py::TestLocalMachine::test_iter_lines_timeout - asser…
8,[ERROR] [ERROR] Some problems were encountered while processing the POMs: [ERROR] Unresolveable build extension: Plugin org.apache.felix:maven-bundle-plugin:2.5.0 or one of its dependencies could not be resolved: Failed to read artifact descriptor for org.apache.felix:maven-bundle-plugin:jar:2.5.0
3,Sorry  but pony 0.7.16 requires Python of one of the following versions: 3.6-3.10. You have version 3.11.1
4,ValueError: invalid mode: 'U'
2,FAILED pscript/tests/test_parser1.py::TestExpressions::test_import - Assertio…
9,"[  935s] RTNETLINK answers: File exists
[  935s] RTNETLINK answers: Permission denied
[  935s] Network setup
[  935s] Cannot find device ""eth0""
[  935s] Cannot find device ""eth0""
[  935s] Cannot find device ""eth0""
[  935s] Error: Nexthop has invalid gateway."
5,E: [pulseaudio] core-util.c: Failed to connect to system bus: Failed to connect to socket /run/dbus/system_bus_socket: No such file or directory E: [null-sink] util.c: Failed to connect to system bus: Failed to connect to socket /run/dbus/system_bus_socket: No such file or directory
4,pyblake2module.c:699:27: error: lvalue required as left operand of assignment
2,FAILED pyct/tests/test_report.py::test_report_gives_package_version - Asserti…
2,FAILED tests/test_build.py::test_logo - assert []
5,pyemd/emd.cpp:200:9: fatal error: longintrepr.h: No such file or directory
5,src_c/pypm.c:209:9: fatal error: longintrepr.h: No such file or directory
2,FAILED kmip/tests/unit/services/server/crypto/test_engine.py::TestCryptographyEngine::test_mac_with_cryptographic_failure
2,FAILED tests/test_pyp.py::test_examples - pyp.PypError: Code raised the follo... FAILED tests/test_pyp.py::test_user_error - AssertionError: Regex pattern did…
2,FAILED tests/test_i18n.py::TestTranslations::test_ldgettext - AttributeError:... FAILED tests/test_i18n.py::TestTranslations::test_ldngettext - AttributeError…
3,AttributeError: module 'numpy' has no attribute 'float'
2,SKIPPED [1] tests/PyroTests/test_naming2.py:342: dbm must be available SKIPPED [1] tests/PyroTests/test_naming2.py:100: dbm must be available
2,FAILED scss/tests/test_expression.py::test_reference_operations - re.error: g... FAILED scss/tests/test_expression.py::test_functions - scss.errors.SassSyntax…
5,Modules/_sha3/backport.inc:78:10: fatal error: pystrhex.h: No such file or directory
2,FAILED ../tests/test_cap_operations.py::test_iterate_empty_psml_capture - ass…
2,FAILED test_junit_classname.py::flake-8::FLAKE8 - AttributeError: 'Applicatio…
3,_pycrfsuite.cpp:18056:23: error: ‘_PyErr_StackItem’ {aka ‘struct _err_stackitem’} has no member named ‘exc_type’ _pycrfsuite.cpp:18058:23: error: ‘_PyErr_StackItem’ {aka ‘struct _err_stackitem’} has no member named ‘exc_traceback’
2,FAILED tests/test_scheduler.py::SchedulerTestCase::test_04_schedule_ten - Ass…
5,src/_rtmidi.cpp:243:9: fatal error: longintrepr.h: No such file or directory
4,ERROR: testQuotes (pytils.test.test_typo.RulesTestCase.testQuotes) Unit-test for quotes rule re.error: global flags not at the start of the expression at position 14
2,FAILED test/test_pytools.py::test_obj_array_vectorize - AttributeError: modul…
5,src/quicktions.c:209:9: fatal error: longintrepr.h: No such file or directory
5,sasl/saslwrapper.cpp:196:9: fatal error: longintrepr.h: No such file or directory
10,error: subprocess-exited-with-error error: metadata-generation-failed
10,Badness 1132 exceeds threshold 999  aborting
4,siplib.c:13750:22: error: invalid use of undefined type 'struct _frame'
4,AttributeError: type object 'op' has no attribute 'pop_jump_if_true'
2,FAILED tests/test_path.py::TestPath::test_read_text - ValueError: invalid mod... FAILED tests/test_util.py::TestSphinxTesting::test_TestApp_when_copy_srcdir_to_tmpdir
7,Job seems to be stuck here  killed. (after 28800 seconds of inactivity)
3,utilsextension.c:22347:24: error: ‘_PyErr_StackItem’ {aka ‘struct _err_stackitem’} has no member named ‘exc_type’ utilsextension.c:22349:22: error: ‘_PyErr_StackItem’ {aka ‘struct _err_stackitem’} has no member named ‘exc_traceback’
2,/var/tmp/rpm-tmp.o4A8wa: line 233:  6662 Segmentation fault      PYTHONPATH=${PYTHONPATH:+$PYTHONPATH:}/home/abuild/rpmbuild/BUILDROOT/python-tesserocr-2.5.2-3.2.riscv64/usr/lib/python3.8/site-packages PYTHONDONTWRITEBYTECODE=1 pytest-3.8 --ignore=_build.python38 --ignore=_build.python39 --ignore=_build.python311 --ignore=_build.python310 -v -k 'not test_LSTM_choices'
2,ERROR test_aio.py - AttributeError: module 'asyncio' has no attribute 'corout... ERROR test_buffered_transport.py - AttributeError: module 'asyncio' has no at…
2,FAILED test/test_as_future.py::test_as_future_coroutine[asyncio] - ImportErro... FAILED test/test_call_later.py::test_explicit_reactor_coroutine[asyncio] - Im…
2,FAILED tests/testsuite.py::XMLTestRunnerTestCase::test_basic_unittest_constructs FAILED tests/testsuite.py::XMLTestRunnerTestCase::test_unexpected_success - A…
3,ERROR: test_coroutine_error (urwid.tests.test_event_loops.AsyncioEventLoopTest.test_coroutine_error) AttributeError: module 'asyncio' has no attribute 'coroutine'
4,ERROR test_whatever.py - TypeError: code expected at least 16 arguments  got 14
2,FAILED tests/test_callable.py::test_callable_attributes - AttributeError: typ... FAILED tests/test_wire.py::test_default_wire - AttributeError: type object 'm…
3,ERROR pytest/test_std.py - KeyError: '3.11'
2,FAILED tests/test_xkcdpass.py::TestEntropyInformation::test_entropy_printout_valid_input
2,Error in test test_with_syslog (ZConfig.components.logger.tests.test_logger.TestConfig.test_with_syslog) AttributeError: module 'socket' has no attribute 'SocketError'
6,g++: internal compiler error: Segmentation fault signal terminated program cc1plus
5,types.h:11:10: fatal error: quadmath.h: No such file or directory
10,Error: unable to perform an operation on node 'rabbit@localhost'. Please see diagnostics information and suggestions below.
2,"The following tests FAILED:  	 16 - exhaustive1_test (Timeout) 	 17 - exhaustive2_test (Timeout) 	 19 - exhaustive_test (Timeout) Errors while running Ctest"
3,NoMethodError: undefined method `exists?' for File:Class
10,1 out of 1 hunk FAILED -- saving rejects to file vendor/tss-esapi-sys/.cargo-checksum.json.rej
1,error: failed to run custom build command for `ring v0.16.20`
10,error: Bad exit status from /var/tmp/rpm-tmp.iMySza (%build)
3,scitokens_internal.cpp:59:90: error: 'void EC_KEY_free(EC_KEY*)' is deprecated: Since OpenSSL 3.0 [-Werror=deprecated-declarations] scitokens_internal.cpp:520:51: error: 'const EC_POINT* EC_KEY_get0_public_key(const EC_KEY*)' is deprecated: Since OpenSSL 3.0 [-Werror=deprecated-declarations] scitokens_internal.cpp:527:45: error: 'int EC_POINT_get_affine_coordinates_GFp(const EC_GROUP*  const EC_POINT*  BIGNUM*  BIGNUM*  BN_CTX*)' is deprecated: Since OpenSSL 3.0 [-Werror=deprecated-declarations]
4,GNUmakefile:67: *** multiple target patterns.  Stop.
2,make[6]: *** [Makefile:820: test-suite.log] Error 1 make[5]: *** [Makefile:928: check-TESTS] Error 2
1,CMake Error at /usr/share/cmake/Modules/FindPackageHandleStandardArgs.cmake:218 (message):    Could NOT find LuaJIT (missing: LUAJIT_LIBRARY LUAJIT_INCLUDE_DIR)
3,../../utils/parse_plt.h:134:2: error: #error Unknown architecture    134 | #error Unknown architecture
10,make: *** [Makefile:159: all] Error
9,"[ERROR] Failed to execute goal com.diffplug.spotless:spotless-maven-plugin:2.4.2:check (spotless-check) on project flink-parent: Execution spotless-check of goal com.diffplug.spotless:spotless-maven-plugin:2.4.2:check failed: Plugin com.diffplug.spotless:spotless-maven-plugin:2.4.2 or one of its dependencies could not be resolved: Could not transfer artifact org.codehaus.groovy:groovy:jar:3.0.3 from/to aliyun (http://maven.aliyun.com/repository/central/): GET request of: org/codehaus/groovy/groovy/3.0.3/groovy-3.0.3.jar from aliyun failed: Premature end of Content-Length delimited message body (expected: 7,907,445; received: 2,026,717) -> [Help 1]"
1,configure: error: Package requirements (luajit) were not met: Package 'luajit'  required by 'virtual:world'  not found
4,/home/abuild/rpmbuild/BUILD/thinkfan-1.3.1/src/fans.cpp:192: undefined reference to `__atomic_fetch_sub_1'
1,error: failed to run custom build command for `ring v0.16.20`
3,../src/tup/platform.c:64:2: error: #error Unsupported cpu architecture. Please add support in tup/platform.c 64 | #error Unsupported cpu architecture. Please add support in tup/platform.c
1,[92m *[0m Checking for Zlib... [91m *[0m Configure failed. error was: undefined method `exists?' for File:Class
3,cc: error: '-march=native': ISA string must begin with rv32 or rv64 CMake Error at CMakeLists.txt:174 (string):
2,"Failures:  	From test_vim9_script.vim: 	Found errors in Test_reject_declaration(): 	Caught exception in Test_reject_declaration(): Vim(call):E109: Type mismatch; expected list<number> but got list<any> @ command line..script /home/abuild/rpmbuild/BUILD/vim-9.0.1307/src/testdir/runtest.vim[569]..function RunTheTest[52]..Test_reject_declaration[2]..Run_test_reject_declaration[1]..RunVimInTerminal[58]..TermWait[9]..<SNR>272_Exit_cb  line 3"
10,make: *** [Makefile:159: all] Error 2
1,CMake Error at src/plugins/CMakeLists.txt:116 (message):    Ruby not found
1,error: failed to run custom build command for `ring v0.16.20`
3,"lj_arch.h:424:2: error: #error ""No target architecture defined""    424 | #error ""No target architecture defined"""
6,c++: fatal error: Killed signal terminated program cc1plus
7,Error: timeout of 2000ms exceeded
